,Claimant(s)/Nationality(ies): i,Date Registered:,Economic Sector:,Instrument(s) Invoked: i,Latest Development:,Outcome of Proceeding:,Respondent(s):,Status of Proceeding:,Subject of Dispute:
133,"Abertis Infraestructuras, S.A. (Spanish)",17-Dec-15,Transportation,BIT Spain - Argentina 1991,"January 30, 2018 - The Claimant files a rejoinder on jurisdiction.",,Argentine Republic (Argentine),Pending,Highway system construction project
134,ArcelorMittal S.A. (Luxembourg),09-Dec-15,Other Industry,"BIT Egypt, Arab Republic of - Belgium-Luxembourg 1999",,"December 5, 2016 - The Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1). on December 5, 2016.",Arab Republic of Egypt (Egyptian),Concluded,Steel industry project
135,"BSG Resources (Guinea) Limited (British), BSG Resources (Guinea) SÀRL (Guinean)",25-Nov-15,"Oil, Gas & Mining","Investment Law - Guinea (1987), Contract, Investment Law - Guinea (1997), Investment Law - Guinea (1995)",,"February 14, 2016 - The Tribunal issues a procedural order concerning the consolidation of BSG Resources Limited v. Republic of Guinea (ICSID Case No. ARB/14/22) and BSG Resources (Guinea) Limited and BSG Resources (Guinea) SÀRL v. Republic of Guinea (ICSID Case No. ARB/15/46).",Republic of Guinea (Guinean),Concluded,Mining concession
136,"HSH Nordbank AG (German), Landesbank Baden-Württemberg (German), Landesbank Hessen-Thüringen Gironzentrale (German), Norddeutsche Landesbank-Girozentrale (German)",12-Nov-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"June 18, 2018 - The Tribunal issues Procedural Order No. 11 concerning production of documents.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
137,"Northsea Spain S.L. (Spanish), Parque Eólico La Boga, S.L. (Spanish), Parque Eólico Marmellar, S.L. (Spanish), Redpier, S.L. (Spanish), Watkins (Ned) B.V. (Dutch), Watkins Holdings S.à r.l. (Luxembourg), Watkins Spain, S.L. (Spanish)",04-Nov-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"May 21, 2018 - May 24, 2018 - The Tribunal holds a hearing on jurisdiction and the merits in Paris.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
138,State General Reserve Fund of the Sultanate of Oman (Omani),22-Oct-15,Finance,BIT Bulgaria - Oman 2007,"June 25, 2018 - The Claimant files a reply on the merits.",,Republic of Bulgaria (Bulgarian),Pending,Banking enterprise
139,"Hydro Energy 1 S.à r.l. (Luxembourg), Hydroxana Sweden AB (Swedish)",19-Oct-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"May 31, 2018 - Each party files a post-hearing brief.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
140,Standard Chartered Bank (Hong Kong) Limited (Chinese),30-Sep-15,Electric Power & Other Energy,Contract,"May 23, 2018 - The Respondent files a reply on jurisdiction and rejoinder on the merits.",,United Republic of Tanzania (Tanzanian),Pending,Power purchase agreement
141,Belenergia S.A. (Luxembourg),22-Sep-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"June 21, 2018 - The Respondent files a statement of costs.",,Italian Republic (Italian),Pending,Renewable energy generation enterprise
142,Salini Impregilo S.p.A. (Italian),17-Sep-15,Transportation,BIT Argentina - Italy 1990,"June 21, 2018 - The Respondent files a counter-memorial on the merits.",,Argentine Republic (Argentine),Pending,Highway system construction project
143,"Aven, David Richard (U.S.), Aven, Samuel Donald (U.S.), Buscemi, Giacomo Anthony (U.S.), Janney, David Alan (U.S.), Park, Carolyn Jean (U.S.), Park, Eric Allan (U.S.), Raguso, Roger (U.S.), Shioleno, Jeffrey Scott (U.S.)",24-Jan-14,Tourism,CAFTA-DR (Dominican Republic-Central America Free Trade Agreement),"March 15, 2018 - Each party files a submission on costs.",,Republic of Costa Rica (Costa Rican),Pending,Real estate project
144,SolEs Badajoz GmbH (German),24-Aug-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"June 5, 2018 - The Tribunal issues Procedural Order No. 5 concerning the organization of the hearing.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
145,Silver Ridge Power BV (Dutch),11-Aug-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"June 8, 2018 - The Claimant files a counter-memorial on jurisdiction.",,Italian Republic (Italian),Pending,Renewable energy generation enterprise
146,"OperaFund Eco-Invest SICAV PLC (Maltese), Schwab Holding AG (Swiss)",11-Aug-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"June 18, 2018 - The Tribunal issues Procedural Order No. 6 concerning procedural matters.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
147,"E.ON Finanzanlagen GmbH (German), E.ON Iberia Holding GmbH (German), E.ON SE (German)",10-Aug-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"June 8, 2018 - The Tribunal issues Procedural Order No. 12 concerning production of documents.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
148,"Cavalum SGPS, S.A. (Portuguese)",04-Aug-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"March 12, 2018 - March 16, 2018 - The Tribunal holds a hearing on jurisdiction and the merits in London.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
149,Gilward Investments B.V. (Dutch),31-Jul-15,Transportation,BIT Netherlands - Ukraine 1994,"April 15, 2018 - The Tribunal issues Procedural Order No. 4 concerning procedural matters.",,Ukraine (Ukrainian),Pending,Aviation services
150,B.V. Belegging-Maatschappij “Far East�_(nationality not available),30-Jul-15,Finance,BIT Malta - Austria 2002,,"October 30, 2017 - The Tribunal declares the proceeding closed in accordance with ICSID Arbitration Rule 38(1).",Republic of Austria (Austrian),Concluded,Banking enterprise
151,"Gabriel Resources (Jersey) (British), Gabriel Resources Ltd. (Canadian)",30-Jul-15,"Oil, Gas & Mining","Agreement between the Government of Canada and the Government of Romania for the Promotion and Reciprocal Protection of Investments 2011, Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Romania for the Promotion and Reciprocal Protection of Investments 1996 (extended to the Bailiwick of Jersey by Exchange of Notes 1999)","June 14, 2018 - The Tribunal issues Procedural Order No. 11 concerning procedural matters.",,Romania (Romanian),Pending,Mining concession
152,Strabag SE (Austrian),20-Jul-15,Construction,BIT Libya - Austria 2002,"June 21, 2018 - The Claimant files a request for the Tribunal to decide on the admissibility of new evidence.",,Libya (Libyan),Pending,Infrastructure construction projects
153,"Samsung Engineering Co., Ltd. (Korean)",20-Jul-15,Construction,"BIT Korea, Republic of - Oman 2003",,"January 17, 2018 - The Tribunal renders its award.",Sultanate of Oman (Omani),Concluded,Refinery improvement project
154,"Cortec (Pty) Limited (British), Cortec Mining Kenya Limited (Kenyan), Stirling Capital Limited (British)",07-Jul-15,"Oil, Gas & Mining",BIT United Kingdom of Great Britain and Northern Ireland - Kenya 1999,"April 11, 2018 - Each party files a post-hearing brief and a submission on costs.",,Republic of Kenya (Kenyan),Pending,Mining concession
155,"Costruzioni S.r.l. (Italian), Francesco Becchetti (Italian), Hydro S.r.l. (Italian), Liliana Condomitti (Italian), Mauro De Renzis (Italian), Stefania Grigolon (Italian)",29-Jun-15,Electric Power & Other Energy,BIT Albania - Italy 1991,"October 20, 2017 - Each party files a submission on costs.",,Republic of Albania (Albanian),Pending,Renewable energy generation enterprise
156,JGC Corporation (Japanese),22-Jun-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"May 28, 2018 - The Claimant files a rejoinder on jurisdiction.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
157,Nabucco Gas Pipeline International GmbH in Liqu. (Austrian),16-Jun-15,"Oil, Gas & Mining",BIT Austria - Turkey 1988,,"November 5, 2015 - The Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.",Republic of Turkey (Turkish),Concluded,Natural gas pipeline project
158,"KS Invest GmbH (German), TLS Invest GmbH (German)",16-Jun-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"April 30, 2018 - The proposal for disqualification of arbitrator Gary B. Born is declined by the co-arbitrators. The proceeding is resumed pursuant to ICSID Arbitration Rule 9(6).",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
159,Ali Alyafei (Qatari),11-Jun-15,Finance,BIT Italy - Jordan 1996 - The Unified Agreement for the Investment of Arab Capital in the Arab States 1980,,"July 11, 2016 - The Tribunal issues an order taking note of the discontinuance of the proceeding for lack of payment of the required advances, pursuant to ICSID Administrative and Financial Regulation 14(3)(d).",Hashemite Kingdom of Jordan (Jordanian),Concluded,Acquisition of shares
160,"Frank Schumm (German), Joachim Kruck (German), Jürgen Reiss (German), Karsten Reiss (German), Mathias Kruck (German), Peter Flachsmann (German), Ralf Hofmann (German), Rolf Schumm (German)",04-Jun-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"June 25, 2018 - Following the resignation of arbitrator Gary Born, the Centre notifies the parties of the vacancy on the Tribunal and the proceeding is suspended pursuant to ICSID Arbitration Rule 10(2).",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
161,ACP Axos Capital GmbH (German),04-Jun-15,Information & Communication,"BIT Germany - Yugoslavia, Federal Republic of 1989 - Investment Law - KOSOVO (2014)",,"May 3, 2018 - The Tribunal renders its award.",Republic of Kosovo (Kosovar),Concluded,Telecommunications and postal enterprise
162,"Aviation Handling Services International Ltd. (British), Menzies Middle East and Africa S.A. (Dutch)",01-Jun-15,Services & Trade,"BIT Senegal - Netherlands 1979, BIT United Kingdom of Great Britain and Northern Ireland - Senegal 1980 - Investment Law - Senegal (2004), GATS",,"August 5, 2016 - The Tribunal declares the proceeding closed in accordance with ICSID Arbitration Rule 38(1).",Republic of Senegal (Senegalese),Concluded,Ground handling services
163,"Cube Energy S.C.A. (Luxembourg), Cube Infrastructure Fund SICAV (Luxembourg), Cube Infrastructure Managers S.A. (Luxembourg), Demeter 2 FPCI (French), Demeter Partners S.A. (French)",01-Jun-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"March 9, 2018 - The Tribunal decides on the Claimants�_request of January 30, 2018, and the Respondent’s request of February 9, 2018.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
164,ENERGO-PRO a.s. (Czech),26-May-15,Electric Power & Other Energy,BIT Czech Republic - Bulgaria 1999 - ECT (Energy Charter Treaty),"April 27, 2018 - The Tribunal issues Procedural order No. 5 concerning the Respondent’s request for leave to raise a new jurisdictional objection.",,Republic of Bulgaria (Bulgarian),Pending,Electricity distribution
165,Capital Financial Holdings Luxembourg S.A. (Luxembourg),20-May-15,Finance,BIT Cameroon - Belgium-Luxembourg 1980,"June 20, 2018 - The ad hoc Committee issues Procedural Order No. 1 concerning procedural matters.","June 22, 2017 - The Tribunal renders its award; attached to the award is a dissenting opinion by arbitrator Alexis Mourre.",Republic of Cameroon (Cameroonian),Concluded,Company shareholding
166,"Hanocal Holding B.V. (Dutch), IPIC International B.V. (Dutch)",20-May-15,"Oil, Gas & Mining","BIT Netherlands - Korea, Republic of 2003",,"October 5, 2016 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.",Republic of Korea (Korean),Concluded,"Oil refinery, production and distribution of petrochemical products"
167,"BayWa r.e. Asset Holding GmbH (German), BayWa r.e. renewable energy GmbH (German)",08-May-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"May 22, 2018 - May 23, 2018 - The Tribunal holds a hearing in The Hague.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
168,9REN Holding S.a.r.l (Luxembourg),21-Apr-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"April 23, 2018 - Each party files a reply post-hearing brief.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
169,Lone Pine Resources Inc. (U.S.),06-Sep-13,"Oil, Gas & Mining",NAFTA (North American Free Trade Agreement),"November 24, 2017 - The Tribunal holds a further hearing on the merits in Montreal.",,Canada (Canadian),Pending,Shale gas exploration
170,"Bartus van Noordenne (Dutch), Cornelis Willem van Noordenne (Dutch), Estudios Tributarios AP S.A. (Costa Rican), Stichting Administratiekantoor Anbadi (Dutch), Álvarez y Marín Corporación S.A. (Costa Rican)",20-Apr-15,Tourism,BIT Netherlands - Panama 2000 - FTA Central America - Panama 2002,"January 23, 2018 - Each party files a statement of costs.",,Republic of Panama (Panamanian),Pending,Tourism project
171,"Devincci Salah Hourani (U.S.), Issam Salah Hourani (British)",16-Apr-15,Other Industry,"BIT Kazakhstan - United Kingdom of Great Britain and Northern Ireland 1995, BIT United States of America - Kazakhstan 1992","March 5, 2018 - The Respondent files a rejoinder on the merits.",,Republic of Kazakhstan (Kazakhstani),Pending,Pharmaceutical enterprise
172,"PT Ventures, SGPS, S.A. (Portuguese)",14-Apr-15,Information & Communication,BIT Cabo Verde - Portugal 1990,"March 1, 2018 - The Tribunal issues a decision on production of documents.",,Republic of Cabo Verde (Cabo Verdean),Pending,Telecommunications concession
173,A11Y LTD. (British),16-Jan-15,Services & Trade,BIT United Kingdom of Great Britain and Northern Ireland - Czech Republic 1990,"January 31, 2018 - Each party files a reply post-hearing brief and a statement of costs.",,Czech Republic (Czech),Pending,Technology for visually impaired
174,Total E&P Uganda BV (Dutch),20-Mar-15,"Oil, Gas & Mining",BIT Netherlands - Uganda 2000 - Contract,"January 18, 2018 - The suspension of the proceeding is further extended until July 16, 2018, pursuant to the parties�_agreement.",,Republic of Uganda (Ugandan),Pending,Exploration and production of oil
175,Orange SA (French),13-Mar-15,Information & Communication,BIT Jordan - France 1978 - Investment Law - Jordan (1995),,"November 17, 2016 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Hashemite Kingdom of Jordan (Jordanian),Concluded,Telecommunications enterprise
176,"Poltava Gas B.V. (Dutch), Poltava Petroleum Company (Ukrainian)",11-Mar-15,"Oil, Gas & Mining",BIT Netherlands - Ukraine 1994,,"August 11, 2015 - The Acting Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Ukraine (Ukrainian),Concluded,Exploration and production of oil and natural gas
177,Aktau Petrol Ticaret A.�_ (Turkish),06-Mar-15,"Oil, Gas & Mining",BIT Turkey - Kazakhstan 1992 - ECT (Energy Charter Treaty),"June 13, 2018 - The ad hoc Committee issues a decision on the continuation of the stay of enforcement of the award.","November 13, 2017 - The Tribunal renders its award.",Republic of Kazakhstan (Kazakhstani),Concluded,Oil transportation and transshipment
178,"WalAm Energy Inc. (U.S.,Canadian)",23-Feb-15,Electric Power & Other Energy,Contract,"June 16, 2018 - The Claimant files a submission on quantum.",,Republic of Kenya (Kenyan),Pending,Geothermal energy development
179,Apotex Inc. (Canadian),10-Dec-08,Other Industry,NAFTA (North American Free Trade Agreement),,"Award on Jurisdiction and Admissibility rendered on June 14, 2013.",United States of America (U.S.),Concluded,Pharmaceutical enterprise
180,AbitibiBowater Inc. (U.S.),25-Feb-10,"Agriculture, Fishing & Forestry",NAFTA (North American Free Trade Agreement),,"Award rendered on December 15, 2010.",Canada (Canadian),Concluded,Manufacturing and trading enterprise
181,Mobil Investments Canada Inc. (U.S.),18-Feb-15,"Oil, Gas & Mining",NAFTA (North American Free Trade Agreement),"December 14, 2017 - Each party files observations on the written submission of the United States of America of October 24, 2017 and the written submission of the United Mexican States of November 7, 2017.",,Canada (Canadian),Pending,Petroleum development projects
182,B3 Croatian Courier Coöperatief U.A. (Dutch),03-Feb-15,Information & Communication,BIT Croatia - Netherlands 1998,"June 1, 2018 - The Claimant files observations on the Respondent’s objection to jurisdiction.",,Republic of Croatia (Croatian),Pending,Postal services enterprise
183,STEAG GmbH (German),21-Jan-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"May 11, 2018 - The Claimant files a reply on the merits and a counter-memorial on jurisdiction.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
184,"Imperial Holding SAL (Lebanese), Abed El Jaouni (German)",16-Jan-15,Transportation,BIT Lebanon - Germany 1997,"June 25, 2018 - The Tribunal issues a decision on jurisdiction and liability.",,Lebanese Republic (Lebanese),Pending,Air transportation services
185,"Lighthouse Corporation Pty Ltd (Australian), Lighthouse Corporation Ltd, IBC (Seychelles)",14-Jan-15,Electric Power & Other Energy,"Contract, Investment Law - Timor-Leste (2005)",,"December 22, 2017 - The Tribunal renders its award.",Democratic Republic of Timor-Leste (Timor-Leste),Concluded,Fuel supply agreement
186,"AS 3 Beteiligungs GmbH (German), Andasol 3 Kraftwerks GmbH (German), Andasol Fonds GmbH & Co. KG (German), Ferranda GmbH (German), Ferrostaal Industrial Projects GmbH (German), Marquesado Solar S.L. (Spanish), RWE Innogy GmbH (German), RheinEnergie AG (German), Stadtwerke München GmbH (German)",07-Jan-15,Electric Power & Other Energy,ECT (Energy Charter Treaty),"March 14, 2018 - The Tribunal decides on the Respondent’s request of February 13, 2018.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
187,Baymina Enerji Anonim Şirketi (Turkish),30-Dec-14,Electric Power & Other Energy,Contract,"June 25, 2018 - The ad hoc Committee issues a decision on the continuation of the stay of enforcement of the award.","July 28, 2017 - The Tribunal renders its award.",Boru Hatları ile Petrol Taşıma Anonim Şirketi (Turkish),Concluded,Natural gas power plant project
188,"RWE Innogy Aersa S.A.U. (Spanish), RWE Innogy GmbH (German)",23-Dec-14,Electric Power & Other Energy,ECT (Energy Charter Treaty),"June 6, 2018 - The Tribunal decides on the admissibility of new documents.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
189,"Constructor, Consulting and Engineering (Panamá), S.A. (Panamanian), IBT Group LLC. (U.S.), International Business and Trade, LLC. (U.S.)",19-Dec-14,Other Industry,BIT Panama - United States of America 2000,,"June 22, 2016 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of Panama (Panamanian),Concluded,Asphalt manufacturing enterprise
190,"Casinos Austria Aktiengesellschaft (Austrian), Casinos Austria International GmbH (Austrian)",18-Dec-14,Other Industry,BIT Argentina - Austria 1992,"June 23, 2017 - Each party files a post-hearing brief.",,Argentine Republic (Argentine),Pending,Gaming industry
191,"SA Interpétrol Burundi (Burundi), Tariq Bashir (Belgian)",12-Dec-14,"Oil, Gas & Mining",BIT Belgium-Luxembourg - Burundi 1989,,"July 6, 2017 - The Tribunal issues a procedural order for the discontinuance of the proceeding for lack of payment of the required advances, pursuant to ICSID Administrative and Financial Regulation 14(3)(d) .",Republic of Burundi (Burundi),Concluded,Petroleum products supply
192,"Gavrilovic d.o.o. (Croatian), Georg Gavrilovic (Austrian)",21-Dec-12,"Agriculture, Fishing & Forestry",BIT Croatia - Austria 1997,"May 4, 2018 - The Tribunal declares the proceeding closed in accordance with ICSID Arbitration Rule 38(1).",,Republic of Croatia (Croatian),Pending,Food products enterprise
193,Beijing Urban Construction Group Co. Ltd. (Chinese),03-Dec-14,Construction,"BIT China - Yemen, Republic of 1998",,"June 7, 2018 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of Yemen (Yemeni),Concluded,Construction of an airport terminal
194,"S.C. Edri Trading S.R.L. (Romanian), S.C. European Drinks S.A. (Romanian), S.C. European Food S.A. (Romanian), S.C. Multipack S.R.L. (Romanian), S.C. Rieni Drinks S.A. (Romanian), S.C. Scandic Distilleries S.A. (Romanian), S.C. Starmill S.R.L. (Romanian), S.C. Tonical Trading S.R.L. (Romanian), S.C. Transilvania General Import-Export S.R.L. (Romanian), S.C. West Leasing International S.R.L. (Romanian), Viorel Micula (Swedish), loan Micula (Swedish)",24-Nov-14,Other Industry,BIT Sweden - Romania 2002,"June 5, 2018 - The Tribunal issues Procedural Order No. 13 concerning the Respondent’s request for leave to file a new jurisdictional objection.",,Romania (Romanian),Pending,Beverage production enterprises
195,Alpiq AG (Swiss),17-Nov-14,Electric Power & Other Energy,BIT Romania - Switzerland 1993 - ECT (Energy Charter Treaty),"February 27, 2018 - The Tribunal decides on the admissibility of new evidence.",,Romania (Romanian),Pending,Electricity generation and distribution operations
196,"Energo-Zelena d.o.o Inđija (Serbian), Zelena N.V. (Belgian)",07-Nov-14,Other Industry,BIT Belgium-Luxembourg - Serbia 2004,"May 9, 2017 - Each party files a statement of costs.",,Republic of Serbia (Serbian),Pending,Waste management services
197,"Albaniabeg Ambient Sh.p.k (Albanian), Costruzioni S.r.l. (Italian), M. Angelo Novelli (Italian)",07-Nov-14,Electric Power & Other Energy,ECT (Energy Charter Treaty),"April 19, 2018 - The Tribunal is reconstituted. Its members are Richard Aikens (British), President, appointed by his co-arbitrators in accordance with ICSID Arbitration Rule 11(1); John M. Townsend (U.S.), appointed by the Claimants; and Leonard Hoffman (British) appointed by the Respondent. The proceeding is resumed pursuant to ICSID Arbitration Rules 12.",,Republic of Albania (Albanian),Pending,Waste management and renewable energy production project
198,"Ansung Housing Co., Ltd. (Korean)",04-Nov-14,Construction,"BIT China - Korea, Republic of 2007",,"March 9, 2017 - The Tribunal renders its award.",People's Republic of China (Chinese),Concluded,Property development project
199,Niko Resources (Bangladesh) Ltd. (Barbadian),28-Jul-10,Electric Power & Other Energy,Contract,"August 2, 2017 - Each party files a reply post-hearing brief.",,"Bangladesh Oil Gas and Mineral Corporation (Petrobangla) (Bangladeshi), Bangladesh Petroleum Exploration and Production Company Limited (Bapex) (Bangladeshi)",Pending,Gas purchase and sale agreement
200,"Aktsiaselts Tallinna Vesi (Estonian), United Utilities (Tallinn) B.V. (Dutch)",24-Oct-14,"Water, Sanitation & Flood Protection",BIT Netherlands - Estonia 1992,"May 26, 2017 - Each party files a reply submission on costs.",,Republic of Estonia (Estonian),Pending,Water and wastewater services
201,"Bumi Mauritania S.A. (Mauritanian), Tamagot Bumi S.A. (Mauritanian)",20-Oct-14,"Oil, Gas & Mining","Contract, Investment Law - Mauritania (2008), Investment Law - Mauritania (2002)","April 18, 2017 - April 21, 2017 - The Tribunal holds a hearing on jurisdiction and the merits in Paris.",,Islamic Republic of Mauritania (Mauritanian),Pending,Iron ore mining project
202,Tethyan Copper Company Pty Limited (Australian),12-Jan-12,"Oil, Gas & Mining",BIT Pakistan - Australia 1998,"May 14, 2018 - May 24, 2018 - The Tribunal holds a hearing on quantum in London.",,Islamic Republic of Pakistan (Pakistani),Pending,Mineral exploration operations
203,"Técnicas Medioambientales Tecmed, S.A. (Spanish)",28-Aug-00,"Water, Sanitation & Flood Protection",BIT Spain - Mexico 1995,,"Award rendered on May 29, 2003.",United Mexican States (Mexican),Concluded,Waste disposal enterprise
204,"BSG Resources (Guinea) Limited (British), BSG Resources (Guinea) SÀRL (Guinean), BSG Resources Limited (British)",08-Sep-14,"Oil, Gas & Mining","Investment Law - Guinea (1987), Investment Law - Guinea (1995)","June 11, 2018 - Each Party files a post-hearing brief.",,Republic of Guinea (Guinean),Pending,Mining concession
205,Bear Creek Mining Corporation (Canadian),18-Aug-14,"Oil, Gas & Mining",FTA Canada - Peru 2009,,"November 30, 2017 - The Tribunal renders its award; attached to the award is a partial dissenting opinion by arbitrator Philippe Sands.",Republic of Peru (Peruvian),Concluded,Mining concession
206,Sodexo Pass International SAS (French),15-Aug-14,Other Industry,BIT France - Hungary 1986,"April 16, 2018 - Each party files a statement of costs. ",,Hungary (Hungarian),Pending,Food voucher services
207,VICAT (French),05-Aug-14,Construction,BIT Senegal - France 2007,,"June 6, 2016 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.",Republic of Senegal (Senegalese),Concluded,Cement manufacturing enterprise
208,RENERGY S.à r.l. (Luxembourg),01-Aug-14,Electric Power & Other Energy,ECT (Energy Charter Treaty),"December 4, 2017 - The Tribunal decides on production of documents.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
209,"Corona Materials, LLC (U.S.)",30-Jul-14,"Oil, Gas & Mining",CAFTA-DR (Dominican Republic-Central America Free Trade Agreement),,"May 31, 2016 - The Tribunal declares the proceeding closed in accordance with Article 44 of the ICSID Arbitration (Additional Facility) Rules.",Dominican Republic (Dominican),Concluded,Other mining and quarrying project
210,Krederi Ltd. (British),21-Jul-14,Construction,BIT United Kingdom of Great Britain and Northern Ireland - Ukraine 1993,"December 12, 2017 - The Claimant files observations on the Respondent’s submission on costs.",,Ukraine (Ukrainian),Pending,Real estate and land development
211,Cyprus Popular Bank Public Co. Ltd. (Cypriot),16-Jul-14,Finance,BIT Cyprus - Greece 1992,"June 8, 2018 - Each party files answers to the questions posed by the Tribunal on May 8, 2018.",,Hellenic Republic (Greek),Pending,Debt instruments and banking services
212,"Nusa Tenggara Partnership B.V. (Dutch), PT Newmont Nusa Tenggara (Dutch)",15-Jul-14,"Oil, Gas & Mining",BIT Indonesia - Netherlands 1994,,"August 29, 2014 - The Respondent informs the Centre that it does not object to the Claimants�_request for the discontinuance of the proceeding.",Republic of Indonesia (Indonesian),Concluded,Copper and gold mining project
213,"Belmont Resources Inc. (Canadian), EuroGas Inc. (U.S.)",10-Jul-14,"Oil, Gas & Mining","BIT Canada - Slovak Republic 2010, BIT United States of America - Slovak Republic 1991","June 1, 2018 - The proceeding is stayed for non-payment of the required advances pursuant to ICSID Administrative and Financial Regulation 14(3)(d) and (e).","August 18, 2017 - The Tribunal declares the proceeding closed in accordance with ICSID Arbitration Rule 38(1).",Slovak Republic (Slovak),Concluded,Talc mining enterprise
214,Oded Besserglik (South African),03-Jul-14,"Agriculture, Fishing & Forestry",BIT Mozambique - South Africa 1997 - Investment Law - Mozambique (1993),"April 23, 2018 - The Respondent files observations on the Claimant’s statement of costs.",,Republic of Mozambique (Mozambican),Pending,Joint fishing operation
215,Elektrogospodarstvo Slovenije - razvoj in inzeniring d.o.o. (Slovenian),16-Jun-14,Electric Power & Other Energy,BIT Bosnia and Herzegovina - Slovenia 2001 - ECT (Energy Charter Treaty),"April 20, 2018 - Each party files observations on the other party’s statement of costs.",,Bosnia and Herzegovina (Bosnian),Pending,Thermal power plant project
216,Eli Lilly and Company (U.S.),12-Sep-13,Other Industry,NAFTA (North American Free Trade Agreement),,"March 16, 2017 - The Tribunal renders its award.",Canada (Canadian),Concluded,Pharmaceutical patents
217,InfraRed Environmental Infrastructure GP Limited (British),03-Jun-14,Electric Power & Other Energy,ECT (Energy Charter Treaty),"September 21, 2017 - Each party files a post-hearing brief.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
218,"NextEra Energy Global Holdings B.V. (Dutch), NextEra Energy Spain Holdings B.V. (Dutch)",23-May-14,Electric Power & Other Energy,ECT (Energy Charter Treaty),"May 4, 2018 - The Tribunal issues Procedural Order No. 8 concerning admissibility of new documents.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
219,"Ramstein Trading Inc. (Panamanian), Compañía Minera de Bajo Caroní AVV (Dutch), Highbury International AVV (Dutch)",19-May-14,"Oil, Gas & Mining","BIT Netherlands - Venezuela, Republica Bolivariana de 1991 - Investment Law - Venezuela (1999)",,"January 5, 2018 - The Tribunal issues a procedural order for the discontinuance of the proceeding for lack of payment of the required advances, pursuant to ICSID Administrative and Financial Regulation 14(3)(d).",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Mining concession
220,"City-State N.V. (Dutch), Crystal-Invest LLC (Ukrainian), Praktyka Asset Management Company LLC (Ukrainian), Prodiz LLC (Ukrainian)",24-Apr-14,Finance,BIT Netherlands - Ukraine 1994,"March 29, 2018 - Each party files a statement of costs.",,Ukraine (Ukrainian),Pending,Banking instrument
221,Anglo American PLC (British),10-Apr-14,"Oil, Gas & Mining","BIT Venezuela, Republica Bolivariana de - United Kingdom of Great Britain and Northern Ireland 1995","April 28, 2017 - Each party files a submission on costs.",,Bolivarian Republic of Venezuela (Venezuelan),Pending,Mining Concession
